#,submission #,number,version,text,scores,total score,reviewer person #,date,time,attachment?
50,4701,2,1,"(OVERALL EVALUATION) This paper presents an overview of security and privacy measures needed in the metaverse. This is a review paper and provides some good insights into previous works related to security and privacy in the metaverse. As a starting point, this might be useful for the newly initiated. One improvement that can be made in this paper is to provide a critical analysis of the latest work being done in this domain. Security is going to be a major concern in the metaverse and there are issues that will be unforeseen by many. So, this is an area worth exploring.","Overall evaluation: 1
Reviewer's confidence: 4",1,129,1/3/2023,5:30,no
51,4836,1,1,"(OVERALL EVALUATION) It is a capstone work.
It is an implementation of an App
The topic is not new
The references are weak.
The literature review is not clear
The format of the article is to be updated
The comparison between existing and used algorithm should be better clarified","Overall evaluation: 1
Reviewer's confidence: 4",1,123,12/17/2022,18:57,no
52,4836,2,1,"(OVERALL EVALUATION) This paper presents an application that enables users to communicated with each other with end-to-end encrypted messages along with a decentralized server. 

The paper is written well in general and the concepts are laid out well. However, this reviewer has a major concern related to the work being presented. The concept is not novel and the ideas presented are simplistic at best. End-to-end encryption is nothing new and decentralized servers are also age-old concept. See for instance Fig 1. which is a very simplistic view of the decentralized architecture. While Fig 2 shows an app which is attractive, I do not quite understand the research contribution of this paper. Moreover, the application is deployed over an HTTP server and not even HTTPS is employed. The paper needs to be significantly modified before it can be useful for a wider audience.","Overall evaluation: 0
Reviewer's confidence: 4",0,130,1/2/2023,16:29,no
53,5689,1,1,"(OVERALL EVALUATION) The paper presents an agent-based model to predict the comorbidity of COVID-19 along with other diseases. The paper presents a very nice literature review and a lot of details are provided in the introduction. The model presented in the paper is also quite detailed and the model parameters are discussed in detail. Several diseases are targeted in the paper and the results are quite interesting. 

One issue is the quality of the figures. due to the nature of the plots, the names of diseases are not quite readable in Figures 4, 5, and 6. It is suggested to improve the quality of the figures.","Overall evaluation: 1
Reviewer's confidence: 4",1,130,1/2/2023,16:30,no
55,5689,2,2,"(OVERALL EVALUATION) The paper presents a model to predict COVID-19 spread using agents. The model can be used in metaverse through the avatars and the distribution of the agents in the metaverse. The experiement need more details and a discussion after the evaluation measures would enhancethe paper providing details of the findings (in addition to the graphs).
Need to add Metaverse related concept to ABM, to relate to the conference theme.","Overall evaluation: 2
Reviewer's confidence: 5",2,,1/6/2023,14:48,no
56,5845,1,1,"(OVERALL EVALUATION) Although the work lies in the scope of the conference and provides an interesting discussion on online education, it does not add any contribution to the field and only reports on previously published works.","Overall evaluation: -2
Reviewer's confidence: 4",-2,122,1/2/2023,7:19,no
57,5845,2,1,"(OVERALL EVALUATION) In this research, the authors are trying to explore the possibility of modeling student-learning behavior based on their online learning’s log data. The proposed   method adopted    Recency, Frequency and Monetary (RFM) Model  to measure student online learning behavior.
The topic is important due to the increasing demand for Online Learning and a way to measure students Engagement in the learning process.    
•	The paper well written with minor revisions needed in the text, especially using future tense.   Present tense should be used.
•	The proposed model needs more development. 
•	A comparison with other models results should be included","Overall evaluation: 2
Reviewer's confidence: 3",2,15,1/2/2023,18:14,no
58,5900,1,1,"(OVERALL EVALUATION) The tool suggested aims to provide a simple, effective, and user-friendly method of scanning files for malicious behavior. The advantage of the tool is that it inspects the file’s behavior dynamically, although, using a blockchain database to store the results, may not be justified.","Overall evaluation: 2
Reviewer's confidence: 3",2,131,12/16/2022,12:48,no
59,5934,1,1,"(OVERALL EVALUATION) The paper presents a survey for different models of BERT, their use and applications. The paper has good details about the BERT models. Although could be more useful if language differences are considered, and the references are huge need to reduce the number of references.
Also, plagiarism is very high, need to reedit and check language mistakes.","Overall evaluation: 1
Reviewer's confidence: 5",1,,1/18/2023,9:41,no
60,5934,2,1,"(OVERALL EVALUATION) This paper provides a review which is in general good, however, the similarity is a bit high. I argue authors to reduce it in the revised version.","Overall evaluation: 1
Reviewer's confidence: 4",1,,1/21/2023,4:50,no
61,6063,1,1,"(OVERALL EVALUATION) This study provides valuable insights into technological innovation in the aerospace sector in the Arab world and highlights potential research directions for future studies.

I think the paper can be accepted in the current form.","Overall evaluation: 2
Reviewer's confidence: 4",2,,1/23/2023,12:19,no
62,6122,1,1,"(OVERALL EVALUATION) Thank you for submitting your manuscript to the L&T2023. We appreciate the effort that went into conducting the bibliometric analysis of security and privacy in the Metaverse.
The authors used Dimensions database and VOSviewer to analyze the results, and found a total of 3,016 papers on the topic of the Metaverse, with 192 specifically related to security and privacy.

However, I have the following concerns that I hope it could be addressed in the revised manuscript. Addressing these concerns will strengthen the manuscript and help improve its content.

1. The high number of papers on the topic of the Metaverse (3016) seems disproportionate for a relatively new research field. Additionally, figure 2 shows a total of less than 2000 documents, which adds to my concern about the accuracy of the reported number of papers. Also, figure 3, whih is one of the main finding shows no Metaverse nodes.

Could you provide more details on the selection criteria and evaluation process used for the included papers, include any limitations or biases that may have impacted the results. 
I also suggest that you use ""Title"" in your search instead of full data or ""Title and Abstract"" to verify the numbers you presented. In all cases, it is difficult to understand the result without knowing the query used.
The query used needs to be included under section ""Methodology"".

2. It is not clear why the Dimensions database was chosen for the bibliometric analysis. Could you provide more information on the selection of this database and how it compares to other trusted sources such as Scopus and WoS? add it to your manuscript.
Please note that almost half of the documents in the Dimensions database are not associated with any country of affiliation. This may impact the accuracy of some of the results regarding country/affiliation mapping. For more information, you may want to review the following reference: https://www.frontiersin.org/articles/10.3389/frma.2020.593494/full. This may provide further context on the potential impact of this on the data and results you presented.

3. As in item #1, it appears that there may be some issue with the data, as there are 3,016 papers found on the topic of the Metaverse, with 192 specifically related to security but no Metaverse nodes are shown 
in Figure 3. There should be an error in figure 3, because the link provided shows different figure, it also show Metaverse applications and industrial metaverse nodes which do not show up in figure 3.

Moreover, it is well know that the most frequently used keywords related to metaverse are virtual reality (VR), augmented reality (AR), blockchain, and the Internet of Things (IoT), however they do not appear in figure 3. 
Ensuring that all relevant information is accurately represented in the visualization is important. 
Could you double-check and clarify this issue to make sure that all relevant information is included?

4. To ensure the best possible results, we recommend taking a few extra steps to clean up the extracted data before conducting your analysis. This may include verifying that all papers have complete titles and author information, and double-checking that all papers are relevant to your research topic. By taking a little extra time to prepare the data, you can feel confident that your analysis is based on accurate and complete information.

5. It looks like there may be some inconsistencies between Table 1 and the number of documents you found. The total number of documents shown in Table 1 does not match the number you stated (different than 3016 or 192). Moreover the percentages shown do not add up to 100%.
Please review and resolve these issues to ensure that the information in you paper is accurate and consistent. 
Same thing for Table 2.

6. In figure 4, to analyze the country publications, why looking to bibliographic coupling and not co-authorship?  


There are a few other issues with the paper that I noticed.

The authors is using software “VOSviewer (version 1.6.16), this is an old version, you must use VOSviewer version 1.6.18

The literature review section is brief. It would be helpful to have more detail on the main themes and findings of the reviewed papers, as well as any gaps. It would be helpful to have a discussion of the main themes or issues that have been identified in the reviewed papers, and how these may inform future research or practice in the field.

It's important to have clear and well-presented figures in order to effectively convey information and ideas. Improve figures 1, 3, 4

Finally, the paper could benefit from some additional editing to improve the clarity and follow the correct IEEE format.

We hope that addressing these concerns will strengthen the manuscript and help to improve its content. Thank you again for your submission and we look forward to seeing your revised manuscript.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I am concerned about the large number of papers (3016) on the topic of the Metaverse in relation to its relatively new status as a research field. This is also reflected in the figures presented, which have some discrepancies, as no Metaverse nodes are included in the results despite the topic being about the Metaverse.","Overall evaluation: 1
Reviewer's confidence: 5",1,78,12/26/2022,10:22,no
64,6326,1,2,"(OVERALL EVALUATION) New reviewer comments:

The manuscript has been updated according to the reviewer suggestion by exploring BCI as a way for people to interact with the metaverse. The paper is now upgraded to ACCEPT.
 
---------------------
Previous comments:

Thank you for submitting your manuscript to L&T2023. I appreciate the effort that went into working on EEG Signal based Non-Invasive BCI by using EMD and Machine Learning.

This text is about brain-computer interfaces (BCIs), systems that allow people with disabilities to communicate and move through the use of brain signals. The manuscript also mentions using machine learning algorithms to classify and extract features from improved EEG signals in  order to perform tasks through BCIs. 

This text does not seem to be directly related to the concept of the metaverse. In general, there is no inherent connection between the concept of the metaverse and BCIs. However, maybe it is possible that brain-computer interfaces (BCIs) could be used as a way for people to interact with the metaverse or virtual reality environments. For example, a person might use a BCI to control a virtual avatar in a virtual world or to communicate with other people in the metaverse. However, this is just an idea  and would depend on the specific capabilities and applications of the BCI system presented. 

I suggest to add the metaverse into the manuscript, I understand that this idea may not fit directly with the focus of your paper, but I thought it might be worth considering as a potential future application or direction for research in this area. Also, change the title accordingly.

As of now, the paper is at "" borderline paper"" till the manuscript is updated.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) This text does not seem to be directly related to the concept of the metaverse.  However, maybe it is possible that brain-computer interfaces (BCIs) could be used as a way for people to interact with the metaverse or virtual reality environments.","Overall evaluation: 2
Reviewer's confidence: 3",2,78,1/17/2023,9:27,no
65,6326,2,1,(OVERALL EVALUATION) Please see how the metaverse can  be related to this work.,"Overall evaluation: 1
Reviewer's confidence: 3",1,,1/6/2023,16:56,no
66,6417,1,1,"(OVERALL EVALUATION) The author tries to explain blockchain in further detail that is being used in Islamic social finance. This is an interesting topic as there is 
a sharp increase in the next evolution of the digital customer experience in Islamic finance jumping to 70% in adopting the Metaverse in the Islamic finance industry in the next three years. 
The manuscript needs a specific details to make manuscript publishable. I suggest the author to look closely to the following: 

1- In the objective it says ""the objective of this paper is to provide further understanding on how blockchain
is being used in Islamic social finance through two case studies"" this is too general.
2. in ""the second objective of this paper in discussing the opportunities for education under Islamic financial principles through blockchain in metaverse"", the author also needs to be more specific, what type of discussion are you planning?
Later on it says ""In this paper, Islamic social finance instruments will be examined under two categories: philanthropy-""
The author needs to write a clear objective, it must be in the abstract and the text.
3- The text score is too low. This score represents the quality of writing in this document. You can increase it by addressing issues in the English text/grammar/typos.
4- There is 7% of plagiarism and need to be reduced.
5. In Section 4, Opportunities of Islamic social finance leveraging blockchain technology in metaverse, this should be the most important part of the manuscript, however it was very short. Section 3 was long, but it has to be linked to Metaverse
6- Highlight clearly the relationship between the topic and Metaverse.
7- Must follow the IEEE format (2 columns), see https://www.effatuniversity.edu.sa/english/conferences/lt/pages/submission-guidelines.aspx

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) see comments","Overall evaluation: 1
Reviewer's confidence: 4",1,78,11/17/2022,7:30,no
67,6417,2,1,"(OVERALL EVALUATION) The paper provides further understanding on how blockchain is utilized in Islamic Social finance through two case studies, which would hopefully lead to discussing the opportunity of using blockchain in metaverse in education. This work is very ambitious, well-organized and well-written as well. However, their is some repetition in talking about the objective of the paper, which was mentioned many times. This causes confusion to the reader and reviewer as well, and takes long time to really understand the main purpose of the work. My advise is to make it more compact and reduce the occurrence of the phrase ""this paper"", which is mentioned 20 times.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Dear Prof,

Thanks again for sending me this paper for review.
I have read the paper and found it acceptable and deserves further consideration in L and T 2023. I expect that the presentation will be very interesting.

The paper simply provides a literature review on the utilization of blockchain in Islamic Social finance and suggests some opportunity of using blockchain in metaverse in education. The paper lies between Islamic Finance and Blockchain technology, and their role in education, which makes it relevant to L and T to some extent.  
  

For the reasons mentioned above.

Regards
Omar","Overall evaluation: 2
Reviewer's confidence: 3",2,122,12/19/2022,12:27,no
68,6483,1,1,"(OVERALL EVALUATION) 1. A well written paper with clear vision.
2. High similarity between the authors previous work cited on [13].
3. Contradicting sentences, “Authors in [18] have proposed an access control system that uses the blockchain to publish policies ……….. In [19], the authors improved the proposal in [18] with better auditability by using blockchain technology. “","Overall evaluation: 2
Reviewer's confidence: 3",2,106,12/29/2022,22:52,no
69,6483,2,1,"(OVERALL EVALUATION) In this paper the author has presented a secure activity provenance mechanism for collaborative MR environments. It utilizes the blockchain technologies to maintain the integrity of the provenance data. The proposed scheme is implemented on a consortium blockchain using Hyperledger Fabric as a proof of concept.
 
This is a timely paper and the manuscript is organized. However, the following points need to be addressed before the acceptance of this paper.
 
The related works section should be enhanced by discussing and citing the recent counterparts.
The used system parameters should be justified. 
A comparison of the obtained results with previous studies should be made in the discussion section.
The authors should carefully proofread the manuscript to avoid any typos and grammatical errors and to improve the clarity of text.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) This paper can be accepted after incorporating the recommended changes.","Overall evaluation: 2
Reviewer's confidence: 4",2,4,12/30/2022,9:10,no
70,6512,1,1,"(OVERALL EVALUATION) There are many papers on the performance comparison between YOLOv3 and SSD. The contribution of the manuscript is not clear. Also, there was no real calculation on the distance as stated in the abstract. The author took some data (pictures) applied the ML algorithms and found that YOLOv3 is better, which is already known from the different published papers.","Overall evaluation: 0
Reviewer's confidence: 5",0,138,3/15/2023,6:13,no
71,6512,2,1,(OVERALL EVALUATION) The paper is acceptable however it need reduce the similarity. We sent the  similarity report  by email.,"Overall evaluation: 2
Reviewer's confidence: 5",2,139,3/15/2023,6:14,no
72,6583,1,1,"(OVERALL EVALUATION) The paper provides an interesting discussion on the benefits of game theory and AI in analyzing social networks. However, the paper needs major changes as it is not reader-friendly. The introduction must be humbler and should use more realistic words to describe the findings in the body of the paper.

The author mentioned that ""Section 2 examines game theory, social networks, and research-based evaluations of game theory application approaches, such as information dissemination, community identification, behavior analysis, and information security."" How did you examine that? I believe you should write discuss or explore instead.

Compare what you wrote in the introduction and conclusion. I believe the conclusion is a better representative of your findings.

Write more details in the captions of the figures, see for example Fig (1): Research Categorization, and Fig. 2: System Diagram.

Add Figure 2a  and Figure 2b to Figure 2 itself.

The value of player 4 in Fig (2) is missed, and I think it should be 2 as per the text.

It is not clear to me why you have 5 players in Figure 2 and 8 in Table 1.

The termonologies right after Table 1 need to be supported with references.

At the end of the paper, the suggested future works are not bad but more justifications must be provided for the claims given or suggestions. 

Modify the acknowledgment.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The paper is not bad but needs to be humble, the flow of the paper is not smooth.
I believe some major changes must be done, as mentioned above.","Overall evaluation: 1
Reviewer's confidence: 4",1,122,1/2/2023,8:02,no
74,6583,2,2,"(OVERALL EVALUATION) The new version still has high percentage of plagiarism, so it'll be rejected.
---------------------------------------
The paper discusses the use of game theory for social network analysis. The idea is progressive and is scalable as social networking becomes more complex. The paper needs to state clear outcomes from the use of game theory in terms of social network analysis. It's not enough to list future directions or trends but also to list clear requirements or gains from such model.

Figure 4, 5 have bad resolution","Overall evaluation: -2
Reviewer's confidence: 5",-2,,1/19/2023,10:20,no
75,6676,1,1,"(OVERALL EVALUATION) The paper compares between methods of cyberbullying detection using ML. They authors first listed supervised, unsupervised and reinforcement learning models. Then they compared between classical ML and deep learning models. The paper can be submitted as a short paper rather than a research paper.","Overall evaluation: 0
Reviewer's confidence: 5",0,45,12/28/2022,11:47,no
76,6743,1,1,"(OVERALL EVALUATION) In this paper the authors have presented the three-dimensional finite element computer models of lumbar segments. These are created and tested for a range of motion and stress patterns generated at the lumbar spine.

The topic of this paper is interesting. However, the manuscript needs a major revision before acceptance. 

The major methods with specifications and key quantitative findings should be clearly presented in the abstract. 

The introduction section should be enhanced by discussing and citing the contemporary studies related to this problem. The problem should be clearly defined with the objective of this study and contribution.

A comparison of the obtained results with previous studies should be made in the discussion section.

The authors should carefully proofread the manuscript to avoid any typos and grammatical errors and to improve the clarity of text.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) This paper can be accepted after incorporating the recommended changes.","Overall evaluation: 2
Reviewer's confidence: 4",2,4,12/30/2022,9:02,no
77,6743,2,1,"(OVERALL EVALUATION) The paper is from the medical field and almost not related to the metaverse or even engineering

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Reject. Not related to engineering or conference theme","Overall evaluation: -3
Reviewer's confidence: 1",-3,7,1/2/2023,5:50,no
78,6743,3,1,(OVERALL EVALUATION) Authors need to justify the relation ship between the 3D modeling and metaverse.,"Overall evaluation: 1
Reviewer's confidence: 5",1,,1/8/2023,7:06,no
79,6821,1,1,(OVERALL EVALUATION) The paper talks mainly about the PID controller. Well written.,"Overall evaluation: 2
Reviewer's confidence: 3",2,7,1/2/2023,6:46,no
80,6821,2,1,"(OVERALL EVALUATION) The authors have to do the following:
1. following the IEEE format
2. Correct the grammatical and punctuation mistakes
3. Enhance the figures
4. Rewrite the equations

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) No comments","Overall evaluation: 2
Reviewer's confidence: 4",2,123,1/2/2023,7:54,no
81,7053,1,1,"(OVERALL EVALUATION) The author attempts to review and compare the industrial and healthcare
evolution showcasing the similarities and differences and investigating the behavior of students during online researcher. To have the paper accepted the author needs to carefully review the following:

1-  The content of the paper needs to discuss what was set in the objective in the abstract, which is not the case of the manuscript sent.
 a) similarities and differences must be explicitly shown in the manuscript as table or graph, or data
 b)  behavior of students during online researcher also must be explicitly shown and more importantly the methodology used such as a survey, etc.

2- The paper must follow the standards of a scientific paper that is: a) include a description of the problem, b) the research question and clear objectives, c) the objective, d) the research methodology used in the study, and results through data, charts, graphs, and other figures, including a contextual analysis of the results. 

3. The abstract says ""this paper puts up a proposed solution utilizing
the tools of metaverse for one of the perennial issues in healthcare which is the waiting time of the
patients"" but it missing from the manuscript.


4. The paper must have an Introduction, previous work, methodology, result and discussion, and conclusion.
The Introduction is too small, and it has no references at all. That is not accepted.


5. Must follow the IEEE format (2 columns), see https://www.effatuniversity.edu.sa/english/conferences/lt/pages/submission-guidelines.aspx

The manuscript must be updated according to the above remarks. I suggest to look at the following refs

https://www.forbes.com/sites/bernardmarr/2022/02/23/the-amazing-possibilities-of-healthcare-in-the-metaverse/?sh=53866ef19e5c

https://fadic.net/metaverse-in-healthcare/

https://www.techrepublic.com/article/building-the-future-of-healthcare-in-the-metaverse/

https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9501644/

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The manuscript must be updated according to the above remarks. I suggest to look at the following refs

https://www.forbes.com/sites/bernardmarr/2022/02/23/the-amazing-possibilities-of-healthcare-in-the-metaverse/?sh=53866ef19e5c

https://fadic.net/metaverse-in-healthcare/

https://www.techrepublic.com/article/building-the-future-of-healthcare-in-the-metaverse/

https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9501644/","Overall evaluation: 1
Reviewer's confidence: 4",1,78,11/29/2022,20:34,no
82,7053,2,1,"(OVERALL EVALUATION) The manuscript presents an overview of the comparison between industrial healthcare evolution. The focus is on the use of these in healthcare. The paper is quite rudimentary. The formatting is not up to par and the references leave a lot to be desired. The use of metaverse is discussed in the paper but most of the material under discussion is quite straight-forward such as registration of the patients and service provision. As it stands, this reviewer does not really see the contributions made by this paper as significant at any level. 

There are also a few typos even in the abstract. For instance, “sited” should be “cited”.","Overall evaluation: -1
Reviewer's confidence: 4",-1,130,1/2/2023,17:05,no
83,7147,1,1,"(OVERALL EVALUATION) Thank you for submitting your manuscript for the L&T 2023 conference on METAVERSE. However, it appears that your manuscript is more closely related to the field of autoimmune disease and is not directly related to the theme of the METAVERSE conference. As such, it may not be an appropriate fit for the conference. We encourage you to consider submitting your work to a conference or journal that is more closely aligned with your research area. We apologize for any inconvenience this may have caused","Overall evaluation: -2
Reviewer's confidence: 3",-2,78,1/2/2023,17:10,no
84,7147,2,1,"(OVERALL EVALUATION) The goal of this work is to detect the set of missed tissue proteins that can be used in the diagnosis and treatment of a specific autoimmune disease The paper is not well written and the presentation is not adequate. Hence, It should be rejected. 
Comments:
1)The paper is not well written. Especially there is no information about Detecting Missed Tissue Proteins. 2)The mathematical model, Algorithms, and rules are not explained clearly which is the main contribution of the paper. 
3)What are the diseases D1, D2, and D3?
4)There is a keyword for ""Supervised Machine Learning Algorithms"". But there is not any information about Supervised Machine Learning Algorithms. Where and how Supervised Machine Learning Algorithms are used?
5)The paper is similar to the paper ""Rafea, M., Elkafrawy, P., Nasef, M. M., Elnemr, R., & Jamal, A. T. (2019). Applying machine learning of erythrocytes dynamic antigens store in medicine. Frontiers in Molecular Biosciences, 6, 19.""

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The goal of this work is to detect the set of missed tissue proteins that can be used in the diagnosis and treatment of a specific autoimmune disease The paper is not well written and the presentation is not adequate. Hence, It should be rejected. 
Comments:
1)The paper is not well written. Especially there is no information about Detecting Missed Tissue Proteins. 2)The mathematical model, Algorithms, and rules are not explained clearly which is the main contribution of the paper. 
3)What are the diseases D1, D2, and D3?
4)There is a keyword for ""Supervised Machine Learning Algorithms"". But there is not any information about Supervised Machine Learning Algorithms. Where and how Supervised Machine Learning Algorithms are used?
5)The paper is similar to the paper ""Rafea, M., Elkafrawy, P., Nasef, M. M., Elnemr, R., & Jamal, A. T. (2019). Applying machine learning of erythrocytes dynamic antigens store in medicine. Frontiers in Molecular Biosciences, 6, 19.""","Overall evaluation: -3
Reviewer's confidence: 5",-3,121,1/4/2023,17:16,no
85,7359,1,1,(OVERALL EVALUATION) Paper is not part of L & T theme.,"Overall evaluation: -3
Reviewer's confidence: 1",-3,7,1/3/2023,10:05,no
87,7359,2,2,"(OVERALL EVALUATION) The paper presented a model for self balancing System and Control Design for Two-Wheeled Single-Track 
Vehicles by employing a proportional integral derivative (PID) control system. The paper is very interesting.  The introduction and methodology need more details to clarify the problem definition and the model under consideration.

Also, need to comply with IEEE format and check language errors.","Overall evaluation: 1
Reviewer's confidence: 3",1,,1/18/2023,8:56,no
88,7563,1,1,"(OVERALL EVALUATION) The paper is highly appreciated with a good conclusions and contribution in Designing of a DC/DC Converter with a PID Controller and Back propagation Neural Network for Electric Vehicles. it is considered as a valuable topic to work on. 
References are suitable for the topic and up to date 
Results indicate a good contribution , but needs more comparison with other PID controller techniques in using tables and figures for more reliability","Overall evaluation: 2
Reviewer's confidence: 4",2,16,1/8/2023,20:05,no
89,7563,2,1,"(OVERALL EVALUATION) The paper needs some grammar check 
Also Need more recent References to be added
The resolution of figure1 needed to be enhanced","Overall evaluation: 2
Reviewer's confidence: 4",2,132,1/10/2023,15:11,no
90,7714,1,1,(OVERALL EVALUATION) The work is strongly related to the conference theme,"Overall evaluation: 2
Reviewer's confidence: 4",2,123,12/17/2022,19:42,no
91,7714,2,1,(OVERALL EVALUATION) The author presented a bibliometric study on Metaverse publications. It was found that most publications were done after 2020 indicating the raise of awareness of the metaverse.,"Overall evaluation: 1
Reviewer's confidence: 4",1,45,12/28/2022,11:55,no
93,7770,1,2,"(OVERALL EVALUATION) The paper looks good to me, but it needs  to linked to the metaverse application.

The plagiarism is high, 33%. It needs to be reduced.","Overall evaluation: 1
Reviewer's confidence: 3",1,,1/9/2023,6:37,no
94,8080,1,1,(OVERALL EVALUATION) The paper discusses the social awareness of regulations and standards in food handling. The paper is out of conference scope.,"Overall evaluation: -2
Reviewer's confidence: 4",-2,,1/4/2023,10:04,no
95,8333,1,1,"(OVERALL EVALUATION) Thank you for submitting your manuscript to L&T2023. I appreciate the effort that went into working on 
Speech Emotion Recognition System for Arabic-English Human Interaction Applications. While the topic is interesting, it does not align with the theme of our conference. Our focus is on the development and use of virtual reality and augmented reality technology in the creation of immersive digital worlds, rather than on speech Emotion Recognition System. I recommend to the author to include Metaverse in their study.","Overall evaluation: 0
Reviewer's confidence: 4",0,78,1/2/2023,23:52,no
97,8333,2,2,"(OVERALL EVALUATION) The paper evaluates ML models to recognize emotions from speech using 2 different standerd datasets. The work is good but need to scope with the conference. Adding alignment of speech regarding Metaverse (Metaverse applications) is recommended.

Add Metaverse in the text to relate to the conference theme.","Overall evaluation: 1
Reviewer's confidence: 4",1,,1/6/2023,15:21,no
98,9179,1,1,"(OVERALL EVALUATION) This paper highlights the usage of Blockchain technology in protecting big data. The paper explains the underlying architecture of Blockchain. It also highlights the possible issues faced by researchers while combining blockchain technology with big-data. The paper then describes the possible use of blockchain technology in multiple domains with an emphasis with the health care domain. Although, the paper summarizes the use of blockchain in different domains with examples. However, it is shallow in technical content, novelty, and provides less contribution. At the end of the paper (last paragraph of section IV), the authors briefly mentioned a survey conducted and draw conclusion on the basis of this survey. However, this survey is not mentioned in anywhere else in this paper.","Overall evaluation: -2
Reviewer's confidence: 4",-2,129,1/2/2023,20:32,no
102,9179,2,4,"(OVERALL EVALUATION) The paper surveyed the use of Blockchain in healthcare. The paper needs to focus more on the Blockchain applications in healthcare rather than providing a page for all applications and then less for healthcare use. Also, add more in the literature survey on the methodology of Blockchain in healthcare. Also, better if related to healthcare applications in metaverse in your related work analysis.
Plagiarism is high and need to be revised.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) its weak as a survey
Plagiarism is high and need to be revised. 48%","Overall evaluation: 0
Reviewer's confidence: 4",0,,1/18/2023,9:20,no
103,9228,1,1,"(OVERALL EVALUATION) In the paper a model for voice recognition of Holy Quran Recitation was presented. The research focused on recognizing the Quranic recitation rule, Qalqalah rule. They used 4 reciters recordings in their experiment.  The paper format to IEEE need to be adjusted (esp. the table titles), it has several typo and grammatical errors. The paper needs a through editing before publication. 
They compared their technique against the different recordings but not against state-of-the-art models as in the literature review, a comparatives experiment would add to the study.","Overall evaluation: 2
Reviewer's confidence: 4",2,,1/4/2023,10:35,no
104,9228,2,1,"(OVERALL EVALUATION) There are many spelling errors in the paper. It should be revised and the spelling errors should be corrected.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) There are many spelling errors in the paper. It should be revised and the spelling errors should be corrected.","Overall evaluation: 2
Reviewer's confidence: 5",2,121,1/4/2023,17:23,no
105,9228,3,1,"(OVERALL EVALUATION) This paper demonstrated CNN on audio recordings of holy Quraan for 4 readers for recognition and MFCC  for feature extraction aiming for recitation error check. The algorithm architect is well illustrated with sufficient layers. However, the training dataset is considerably small-sized compared to a deep learning algorithm like CNN. it was apparent through the iteration of training using multiple datasets. In addition, it is advised to clarify the tables numbered from 1-4 referring to which reader. The resulting accuracy of 85.5% is promising but this should be included in the conclusion, not a discussion. Kindly consider writing a well-informative conclusion after the CNN training. It is recommended to use a proofreading platform for typos and grammar mistakes.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The plagiarism check by Grammarly is 30%. 
There is no conclusion section. 
However, using CNN with a Quraan recitation error check is insightful and inspiring.","Overall evaluation: 2
Reviewer's confidence: 3",2,9,1/9/2023,9:57,no
106,9369,1,1,"(OVERALL EVALUATION) Thank you for sending the abstract for the L&T2023 Conference on Metaverse. Based on the information provided in the abstract, it appears that the paper is a weak accept until the full paper is received. The topic of the metaverse and its potential applications in healthcare is an interesting and relevant area of study. However, the abstract does not provide enough detail or analysis to fully evaluate the quality and significance of the research. We would be happy to review the full paper and provide a more detailed assessment once it is available.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) NO full paper available.","Overall evaluation: 1
Reviewer's confidence: 4",1,120,1/2/2023,0:32,no
107,9369,2,1,"(OVERALL EVALUATION) This paper only contains an Introduction section. The other sections are empty. Hence I cannot review such a appear and it should be rejected.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) This paper only contains an Introduction section. The other sections are empty. Hence I cannot review such a appear and it should be rejected.","Overall evaluation: -2
Reviewer's confidence: 5",-2,121,1/2/2023,15:42,no
108,9369,3,1,"(OVERALL EVALUATION) Thank you for submitting your paper. However, it appears that it is not complete and contains some flaws. No clear objective, no results, no discussion, and no conclusion.","Overall evaluation: -2
Reviewer's confidence: 5",-2,78,1/17/2023,9:17,no
